,meal_id,item_name,vegetarian,category,price,Chef_chef_id,description,type,
41,42,Masala Chai,veg,Beverage,60.0,101,Spiced Indian tea brewed with milk and aromatic spices.,beverage,
42,43,Lassi,veg,Beverage,80.0,102,"Refreshing yogurt-based drink, sweet or salty.",beverage,
43,44,Jaljeera,veg,Beverage,55.0,103,Tangy spiced drink made with cumin and herbs.,beverage,
44,45,Rajma Chawal,veg,Main Course,290.0,101,Red kidney beans curry served with steamed rice.,rice,
45,46,Kadhi Pakora,veg,Main Course,260.0,102,Chickpea flour dumplings in tangy yogurt-based curry.,sabzi,
46,47,Missi Roti,veg,Bread,60.0,103,Spiced gram flour flatbread cooked on a griddle.,roti/bread,
47,48,Aloo Paratha,veg,Bread,90.0,102,Stuffed flatbread filled with spiced mashed potatoes.,roti/bread,
48,49,Paneer Paratha,veg,Bread,110.0,101,Stuffed flatbread filled with grated paneer.,roti/bread,
49,50,Shahi Tukda,veg,Dessert,170.0,103,Rich Mughlai dessert of fried bread soaked in milk and sugar.,sweet,
50,51,Fruit Cream,veg,Dessert,150.0,101,Whipped sweet cream mixed with seasonal fruits.,sweet,
51,52,Pudina Chutney,veg,Accompaniment,40.0,102,Fresh mint chutney made with herbs and spices.,side,
52,53,Raita,veg,Accompaniment,50.0,103,Yogurt-based side dish often mixed with vegetables or boondi.,side,
53,54,Papad,veg,Accompaniment,25.0,101,Crispy lentil crackers served as a side snack.,side,
54,55,Onion Salad,veg,Accompaniment,30.0,102,Sliced onions mixed with lemon and spices as a salad.,side,
55,56,Tawa Roti,veg,Bread,40.0,103,Whole wheat flatbread cooked on a griddle.,roti/bread,
56,57,Palak Ki Puri,veg,Bread,80.0,101,Deep-fried spinach puris served with curry.,roti/bread,
57,58,Methi Paratha,veg,Bread,95.0,102,Spiced flatbread made with fenugreek leaves.,roti/bread,
58,59,Aloo Chaat,veg,Starter,220.0,103,Spiced fried potato cubes served as a street snack.,snack,
59,60,Pani Puri,veg,Starter,180.0,101,Crispy hollow puris filled with tangy water and stuffing.,snack,
60,61,Dahi Vada,veg,Starter,200.0,102,Lentil fritters soaked in spiced yogurt.,snack,
61,62,Bhel Puri,veg,Starter,190.0,103,Puffed rice snack mixed with chutneys and spices.,snack,
62,63,Veg Fried Rice,veg,Rice,350.0,101,Stir-fried rice with vegetables and Indian spices.,Rice,
63,64,Schezwan Fried Rice,veg,Rice,380.0,102,Spicy Indo-Chinese fried rice with schezwan sauce.,rice,
64,65,Paneer Fried Rice,veg,Rice,420.0,103,Fried rice cooked with paneer and vegetables.,rice,
65,66,Chicken Fried Rice,non-veg,Rice,450.0,101,Chinese-style fried rice with chicken and spices.,rice,
66,67,Chicken Hakka Noodles,non-veg,Rice,470.0,102,Wok-tossed noodles with chicken and Indo-Chinese flavors.,main,
67,68,Veg Hakka Noodles,veg,Rice,320.0,103,Stir-fried noodles with vegetables in Indo-Chinese style.,main,
68,69,Gobi 65,veg,Starter,250.0,102,Spicy fried cauliflower similar to chicken 65.,starter,
69,70,Pudina Paratha,veg,Bread,70.0,101,Layered flatbread flavored with mint.,roti/bread,
70,71,Chur Chur Naan,veg,Bread,120.0,103,Flaky stuffed naan crushed and served with curry.,roti/bread,
71,72,Amritsari Kulcha,veg,Bread,130.0,102,Stuffed flatbread from Amritsar served with butter.,roti/bread,
72,73,Mushroom Curry,veg,Main Course,380.0,101,Mushrooms cooked in spiced Indian curry.,sabzi,
73,74,Corn Palak,veg,Main Course,310.0,103,Spinach curry cooked with sweet corn.,sabzi,
74,75,Mutter Paneer,veg,Main Course,390.0,102,Paneer cooked in tomato-onion gravy with peas.,sabzi,
75,76,Dum Aloo,veg,Main Course,300.0,101,Baby potatoes cooked in rich spiced curry.,sabzi,
76,77,Kashmiri Pulao,veg,Rice,280.0,103,Kashmiri-style sweet and aromatic rice with nuts and fruits.,rice,
77,78,Veg Pulao,veg,Rice,250.0,102,Fragrant rice pilaf cooked with vegetables and spices.,rice,
78,79,Egg Curry,non-veg,Main Course,320.0,101,Eggs simmered in spiced onion-tomato curry.,sabzi,
79,80,Malabar Parotta,veg,Bread,65.0,103,Flaky layered bread from Kerala.,roti/bread,
80,81,Coconut Rice,veg,Rice,270.0,102,Fragrant rice cooked with grated coconut.,rice,
81,82,Tomato Rice,veg,Rice,240.0,101,Tangy rice dish made with tomatoes and spices.,rice,
82,83,Lemon Rice,veg,Rice,230.0,103,Zesty rice flavored with lemon and curry leaves.,rice,
83,84,Curd Rice,veg,Rice,210.0,102,Creamy yogurt rice tempered with spices.,rice,
84,85,Masala Dosa,veg,Starter,150.0,101,Fermented rice-lentil crepe stuffed with spiced potato.,main,
85,86,Idli Sambar,veg,Starter,120.0,103,Steamed rice cakes served with sambar.,starter,
86,87,Medu Vada,veg,Starter,130.0,102,Lentil fritters deep-fried and served with chutney.,starter,
87,88,Rasam,veg,Beverage,45.0,101,Tangy South Indian tamarind-based soup.,beverage,
88,89,Sambar,veg,Accompaniment,60.0,103,Lentil-based vegetable stew with tamarind.,side,
89,90,Utthapam,veg,Starter,140.0,102,Thick rice-lentil pancake topped with vegetables.,Starter,
90,91,Appam,veg,Bread,70.0,101,Soft lacy pancakes from Kerala made with fermented batter.,roti/bread,
91,92,Puttu,veg,Bread,85.0,103,Steamed rice flour cylinders served with curry.,roti/bread,
92,93,Kadala Curry,veg,Main Course,280.0,102,Kerala-style black chickpea curry.,Sabzi,
93,94,Avial,veg,Main Course,300.0,101,Kerala vegetable curry with coconut and yogurt.,sabzi,
94,95,Kalan,veg,Main Course,290.0,103,Kerala-style yogurt curry with raw banana or yam.,sabzi,
95,96,Pachadi,veg,Accompaniment,55.0,102,South Indian yogurt-based side dish with vegetables.,side,
96,97,Thakkali Satham,veg,Rice,260.0,101,Tangy tomato rice from Tamil Nadu.,rice,
97,98,Masala Bhindi,veg,Main Course,270.0,103,Spiced stir-fried okra dish.,sabzi,
98,99,Thepla,veg,Bread,75.0,102,Gujarati flatbread flavored with spices and fenugreek.,roti/bread,
99,100,Litti Chokha,veg,Main Course,330.0,101,Bihari dish of roasted wheat balls served with spiced mashed vegetables.,Sabzi,
