ingredient_name,unit,current_inventory,order_date,reorder_level,supplier_id
peanuts,kg,65.459,2025-08-28,32.730000000000004,Supplier003
asafoetida,kg,34.864,2025-08-28,17.432,Supplier003
pav,kg,53.314,2025-08-28,26.657,Supplier001
pav bhaji masala,kg,91.219,2025-08-28,45.61,Supplier003
dabeli masala,kg,28.683,2025-08-28,14.342,Supplier003
jaggery,kg,43.986,2025-08-28,21.993,Supplier001
sev,kg,76.777,2025-08-28,38.388,Supplier003
pomegranate seeds,kg,26.736,2025-08-28,13.368,Supplier001
puris,kg,12.313,2025-08-28,6.156000000000001,Supplier002
green chili,kg,32.526,2025-08-28,16.262999999999998,Supplier003
cumin powder,kg,20.316,2025-08-28,10.158,Supplier002
moong,kg,93.321,2025-08-28,46.66,Supplier001
white peas,kg,81.771,2025-08-28,40.886,Supplier003
samosas,kg,65.173,2025-08-28,32.586,Supplier001
chole,kg,87.789,2025-08-28,43.894,Supplier002
tamarind chutney,kg,81.349,2025-08-28,40.674,Supplier001
baking powder,kg,22.724,2025-08-28,11.362,Supplier003
khoya,kg,89.79299999999999,2025-08-28,44.896,Supplier003
cardamom,kg,56.238,2025-08-28,28.119,Supplier002
carrots,kg,2.570879822008262,2025-08-28,0.8381576652352015,Supplier001
pistachios,kg,90.129,2025-08-28,45.064,Supplier003
almonds,kg,35.21,2025-08-28,17.605,Supplier002
milk powder,kg,15.455000000000002,2025-08-28,7.728,Supplier003
bread,kg,26.654000000000003,2025-08-28,13.327000000000002,Supplier003
condensed milk,kg,45.575,2025-08-28,22.788,Supplier001
raw rice,kg,82.711,2025-08-28,41.356,Supplier003
idli rice,kg,86.769,2025-08-28,43.384,Supplier001
dosa,kg,5.66,2025-08-28,2.83,Supplier003
idli batter,kg,53.521,2025-08-28,26.76,Supplier002
carrot,kg,44.654,2025-08-28,22.327,Supplier003
toor dal,kg,26.1,2025-08-28,13.05,Supplier001
bisi bele bhaat masala,kg,16.387,2025-08-28,8.193999999999999,Supplier001
sambar powder,kg,37.073,2025-08-28,18.536,Supplier002
rasam powder,kg,94.576,2025-08-28,47.288,Supplier003
eno,kg,35.704,2025-08-28,17.852,Supplier003
sesame seeds,kg,54.285,2025-08-28,27.142000000000003,Supplier002
sattu,kg,71.787,2025-08-28,35.894,Supplier003
pickle masala,kg,39.545,2025-08-28,19.772,Supplier003
black tea,kg,97.319,2025-08-28,48.66,Supplier001
ice,kg,96.432,2025-08-28,48.216,Supplier003
black salt,kg,28.919,2025-08-28,14.46,Supplier003
raw mangoes,kg,52.239,2025-08-28,26.12,Supplier002
mushrooms,kg,33.583,2025-08-28,16.791999999999998,Supplier002
eggs,piece,1.3048349527286032,2025-08-28,1.369548619846404,Supplier001
rajma masala,kg,8.504000000000001,2025-08-28,4.252000000000001,Supplier003
